# x 	 U
0.000000000000000000e+00 1.250000000000000000e-01
3.906250000000000000e-03 1.230545043945312500e-01
7.812500000000000000e-03 1.211242675781250000e-01
1.171875000000000000e-02 1.192092895507812500e-01
1.562500000000000000e-02 1.173095703125000000e-01
1.953125000000000000e-02 1.154251098632812500e-01
2.343750000000000000e-02 1.135559082031250000e-01
2.734375000000000000e-02 1.117019653320312500e-01
3.125000000000000000e-02 1.098632812500000000e-01
3.515625000000000000e-02 1.080398559570312500e-01
3.906250000000000000e-02 1.062316894531250000e-01
4.296875000000000000e-02 1.044387817382812500e-01
4.687500000000000000e-02 1.026611328125000000e-01
5.078125000000000000e-02 1.008987426757812500e-01
5.468750000000000000e-02 9.915161132812500000e-02
5.859375000000000000e-02 9.741973876953125000e-02
6.250000000000000000e-02 9.570312500000000000e-02
6.640625000000000000e-02 9.400177001953125000e-02
7.031250000000000000e-02 9.231567382812500000e-02
7.421875000000000000e-02 9.064483642578125000e-02
7.812500000000000000e-02 8.898925781250000000e-02
8.203125000000000000e-02 8.734893798828125000e-02
8.593750000000000000e-02 8.572387695312500000e-02
8.984375000000000000e-02 8.411407470703125000e-02
9.375000000000000000e-02 8.251953125000000000e-02
9.765625000000000000e-02 8.094024658203125000e-02
1.015625000000000000e-01 7.937622070312500000e-02
1.054687500000000000e-01 7.782745361328125000e-02
1.093750000000000000e-01 7.629394531250000000e-02
1.132812500000000000e-01 7.477569580078125000e-02
1.171875000000000000e-01 7.327270507812500000e-02
1.210937500000000000e-01 7.178497314453125000e-02
1.250000000000000000e-01 7.031250000000000000e-02
1.289062500000000000e-01 6.885528564453125000e-02
1.328125000000000000e-01 6.741333007812500000e-02
1.367187500000000000e-01 6.598663330078125000e-02
1.406250000000000000e-01 6.457519531250000000e-02
1.445312500000000000e-01 6.317901611328125000e-02
1.484375000000000000e-01 6.179809570312500000e-02
1.523437500000000000e-01 6.043243408203125000e-02
1.562500000000000000e-01 5.908203125000000000e-02
1.601562500000000000e-01 5.774688720703125000e-02
1.640625000000000000e-01 5.642700195312500000e-02
1.679687500000000000e-01 5.512237548828125000e-02
