# x 	 U
0.000000000000000000e+00 5.000000000000000000e+01
1.953125000000000000e-02 4.980487823486328125e+01
3.906250000000000000e-02 4.961013793945312500e+01
5.859375000000000000e-02 4.941577911376953125e+01
7.812500000000000000e-02 4.922180175781250000e+01
9.765625000000000000e-02 4.902820587158203125e+01
1.171875000000000000e-01 4.883499145507812500e+01
1.367187500000000000e-01 4.864215850830078125e+01
1.562500000000000000e-01 4.844970703125000000e+01
1.757812500000000000e-01 4.825763702392578125e+01
1.953125000000000000e-01 4.806594848632812500e+01
2.148437500000000000e-01 4.787464141845703125e+01
2.343750000000000000e-01 4.768371582031250000e+01
2.539062500000000000e-01 4.749317169189453125e+01
2.734375000000000000e-01 4.730300903320312500e+01
2.929687500000000000e-01 4.711322784423828125e+01
3.125000000000000000e-01 4.692382812500000000e+01
3.320312500000000000e-01 4.673480987548828125e+01
3.515625000000000000e-01 4.654617309570312500e+01
3.710937500000000000e-01 4.635791778564453125e+01
3.906250000000000000e-01 4.617004394531250000e+01
4.101562500000000000e-01 4.598255157470703125e+01
4.296875000000000000e-01 4.579544067382812500e+01
4.492187500000000000e-01 4.560871124267578125e+01
4.687500000000000000e-01 4.542236328125000000e+01
4.882812500000000000e-01 4.523639678955078125e+01
5.078125000000000000e-01 4.505081176757812500e+01
5.273437500000000000e-01 4.486560821533203125e+01
5.468750000000000000e-01 4.468078613281250000e+01
5.664062500000000000e-01 4.449634552001953125e+01
5.859375000000000000e-01 4.431228637695312500e+01
6.054687500000000000e-01 4.412860870361328125e+01
6.250000000000000000e-01 4.394531250000000000e+01
6.445312500000000000e-01 4.376239776611328125e+01
6.640625000000000000e-01 4.357986450195312500e+01
6.835937500000000000e-01 4.339771270751953125e+01
7.031250000000000000e-01 4.321594238281250000e+01
7.226562500000000000e-01 4.303455352783203125e+01
7.421875000000000000e-01 4.285354614257812500e+01
7.617187500000000000e-01 4.267292022705078125e+01
7.812500000000000000e-01 4.249267578125000000e+01
8.007812500000000000e-01 4.231281280517578125e+01
8.203125000000000000e-01 4.213333129882812500e+01
8.398437500000000000e-01 4.195423126220703125e+01
8.593750000000000000e-01 4.177551269531250000e+01
8.789062500000000000e-01 4.159717559814453125e+01
8.984375000000000000e-01 4.141921997070312500e+01
9.179687500000000000e-01 4.124164581298828125e+01
9.375000000000000000e-01 4.106445312500000000e+01
9.570312500000000000e-01 4.088764190673828125e+01
9.765625000000000000e-01 4.071121215820312500e+01
9.960937500000000000e-01 4.053516387939453125e+01
1.015625000000000000e+00 4.035949707031250000e+01
1.035156250000000000e+00 4.018421173095703125e+01
1.054687500000000000e+00 4.000930786132812500e+01
1.074218750000000000e+00 3.983478546142578125e+01
1.093750000000000000e+00 3.966064453125000000e+01
1.113281250000000000e+00 3.948688507080078125e+01
1.132812500000000000e+00 3.931350708007812500e+01
1.152343750000000000e+00 3.914051055908203125e+01
1.171875000000000000e+00 3.896789550781250000e+01
1.191406250000000000e+00 3.879566192626953125e+01
1.210937500000000000e+00 3.862380981445312500e+01
1.230468750000000000e+00 3.845233917236328125e+01
1.250000000000000000e+00 3.828125000000000000e+01
1.269531250000000000e+00 3.811054229736328125e+01
1.289062500000000000e+00 3.794021606445312500e+01
1.308593750000000000e+00 3.777027130126953125e+01
1.328125000000000000e+00 3.760070800781250000e+01
1.347656250000000000e+00 3.743152618408203125e+01
1.367187500000000000e+00 3.726272583007812500e+01
1.386718750000000000e+00 3.709430694580078125e+01
1.406250000000000000e+00 3.692626953125000000e+01
1.425781250000000000e+00 3.675861358642578125e+01
1.445312500000000000e+00 3.659133911132812500e+01
1.464843750000000000e+00 3.642444610595703125e+01
1.484375000000000000e+00 3.625793457031250000e+01
1.503906250000000000e+00 3.609180450439453125e+01
1.523437500000000000e+00 3.592605590820312500e+01
