# x	rho
-5.000000000000000000e+00 0.000000000000000000e+00
-4.960784313725490335e+00 0.000000000000000000e+00
-4.921568627450980671e+00 0.000000000000000000e+00
-4.882352941176471006e+00 0.000000000000000000e+00
-4.843137254901960453e+00 0.000000000000000000e+00
-4.803921568627450789e+00 0.000000000000000000e+00
-4.764705882352941124e+00 0.000000000000000000e+00
-4.725490196078431460e+00 0.000000000000000000e+00
-4.686274509803921795e+00 0.000000000000000000e+00
-4.647058823529412130e+00 0.000000000000000000e+00
-4.607843137254901578e+00 0.000000000000000000e+00
-4.568627450980391913e+00 0.000000000000000000e+00
-4.529411764705882248e+00 0.000000000000000000e+00
-4.490196078431372584e+00 0.000000000000000000e+00
-4.450980392156862919e+00 0.000000000000000000e+00
-4.411764705882353255e+00 0.000000000000000000e+00
-4.372549019607843590e+00 0.000000000000000000e+00
-4.333333333333333037e+00 0.000000000000000000e+00
-4.294117647058823373e+00 0.000000000000000000e+00
-4.254901960784313708e+00 0.000000000000000000e+00
-4.215686274509804043e+00 0.000000000000000000e+00
-4.176470588235294379e+00 0.000000000000000000e+00
-4.137254901960783826e+00 0.000000000000000000e+00
-4.098039215686274161e+00 0.000000000000000000e+00
-4.058823529411764497e+00 0.000000000000000000e+00
-4.019607843137254832e+00 0.000000000000000000e+00
-3.980392156862745168e+00 0.000000000000000000e+00
-3.941176470588235503e+00 0.000000000000000000e+00
-3.901960784313725394e+00 0.000000000000000000e+00
-3.862745098039215730e+00 0.000000000000000000e+00
-3.823529411764705621e+00 0.000000000000000000e+00
-3.784313725490195957e+00 0.000000000000000000e+00
-3.745098039215686292e+00 0.000000000000000000e+00
-3.705882352941176627e+00 0.000000000000000000e+00
-3.666666666666666963e+00 0.000000000000000000e+00
-3.627450980392156854e+00 0.000000000000000000e+00
-3.588235294117647189e+00 0.000000000000000000e+00
-3.549019607843137081e+00 0.000000000000000000e+00
-3.509803921568627416e+00 0.000000000000000000e+00
-3.470588235294117752e+00 0.000000000000000000e+00
-3.431372549019608087e+00 0.000000000000000000e+00
-3.392156862745097978e+00 0.000000000000000000e+00
-3.352941176470588314e+00 0.000000000000000000e+00
-3.313725490196078205e+00 0.000000000000000000e+00
-3.274509803921568540e+00 0.000000000000000000e+00
-3.235294117647058876e+00 0.000000000000000000e+00
-3.196078431372549211e+00 0.000000000000000000e+00
-3.156862745098039547e+00 0.000000000000000000e+00
-3.117647058823529438e+00 0.000000000000000000e+00
-3.078431372549019329e+00 0.000000000000000000e+00
-3.039215686274509665e+00 0.000000000000000000e+00
-3.000000000000000000e+00 0.000000000000000000e+00
-2.960784313725490335e+00 0.000000000000000000e+00
-2.921568627450980227e+00 0.000000000000000000e+00
-2.882352941176470562e+00 0.000000000000000000e+00
-2.843137254901960898e+00 0.000000000000000000e+00
-2.803921568627450789e+00 0.000000000000000000e+00
-2.764705882352941124e+00 0.000000000000000000e+00
-2.725490196078431460e+00 0.000000000000000000e+00
-2.686274509803921795e+00 0.000000000000000000e+00
-2.647058823529411686e+00 0.000000000000000000e+00
-2.607843137254902022e+00 0.000000000000000000e+00
-2.568627450980392357e+00 0.000000000000000000e+00
-2.529411764705882248e+00 0.000000000000000000e+00
-2.490196078431372584e+00 0.000000000000000000e+00
-2.450980392156862919e+00 0.000000000000000000e+00
-2.411764705882352811e+00 0.000000000000000000e+00
-2.372549019607843146e+00 0.000000000000000000e+00
-2.333333333333333481e+00 0.000000000000000000e+00
-2.294117647058823373e+00 0.000000000000000000e+00
