# x 	 U
0.000000000000000000e+00 1.250000000000000000e+01
1.953125000000000000e-02 1.240253448486328125e+01
3.906250000000000000e-02 1.230545043945312500e+01
5.859375000000000000e-02 1.220874786376953125e+01
7.812500000000000000e-02 1.211242675781250000e+01
9.765625000000000000e-02 1.201648712158203125e+01
1.171875000000000000e-01 1.192092895507812500e+01
1.367187500000000000e-01 1.182575225830078125e+01
1.562500000000000000e-01 1.173095703125000000e+01
1.757812500000000000e-01 1.163654327392578125e+01
1.953125000000000000e-01 1.154251098632812500e+01
2.148437500000000000e-01 1.144886016845703125e+01
2.343750000000000000e-01 1.135559082031250000e+01
2.539062500000000000e-01 1.126270294189453125e+01
2.734375000000000000e-01 1.117019653320312500e+01
2.929687500000000000e-01 1.107807159423828125e+01
3.125000000000000000e-01 1.098632812500000000e+01
3.320312500000000000e-01 1.089496612548828125e+01
3.515625000000000000e-01 1.080398559570312500e+01
3.710937500000000000e-01 1.071338653564453125e+01
3.906250000000000000e-01 1.062316894531250000e+01
4.101562500000000000e-01 1.053333282470703125e+01
4.296875000000000000e-01 1.044387817382812500e+01
4.492187500000000000e-01 1.035480499267578125e+01
4.687500000000000000e-01 1.026611328125000000e+01
4.882812500000000000e-01 1.017780303955078125e+01
5.078125000000000000e-01 1.008987426757812500e+01
5.273437500000000000e-01 1.000232696533203125e+01
5.468750000000000000e-01 9.915161132812500000e+00
5.664062500000000000e-01 9.828376770019531250e+00
5.859375000000000000e-01 9.741973876953125000e+00
6.054687500000000000e-01 9.655952453613281250e+00
6.250000000000000000e-01 9.570312500000000000e+00
6.445312500000000000e-01 9.485054016113281250e+00
6.640625000000000000e-01 9.400177001953125000e+00
6.835937500000000000e-01 9.315681457519531250e+00
7.031250000000000000e-01 9.231567382812500000e+00
7.226562500000000000e-01 9.147834777832031250e+00
7.421875000000000000e-01 9.064483642578125000e+00
7.617187500000000000e-01 8.981513977050781250e+00
7.812500000000000000e-01 8.898925781250000000e+00
8.007812500000000000e-01 8.816719055175781250e+00
8.203125000000000000e-01 8.734893798828125000e+00
8.398437500000000000e-01 8.653450012207031250e+00
8.593750000000000000e-01 8.572387695312500000e+00
8.789062500000000000e-01 8.491706848144531250e+00
8.984375000000000000e-01 8.411407470703125000e+00
9.179687500000000000e-01 8.331489562988281250e+00
9.375000000000000000e-01 8.251953125000000000e+00
9.570312500000000000e-01 8.172798156738281250e+00
9.765625000000000000e-01 8.094024658203125000e+00
9.960937500000000000e-01 8.015632629394531250e+00
1.015625000000000000e+00 7.937622070312500000e+00
1.035156250000000000e+00 7.859992980957031250e+00
1.054687500000000000e+00 7.782745361328125000e+00
1.074218750000000000e+00 7.705879211425781250e+00
1.093750000000000000e+00 7.629394531250000000e+00
1.113281250000000000e+00 7.553291320800781250e+00
1.132812500000000000e+00 7.477569580078125000e+00
1.152343750000000000e+00 7.402229309082031250e+00
1.171875000000000000e+00 7.327270507812500000e+00
1.191406250000000000e+00 7.252693176269531250e+00
1.210937500000000000e+00 7.178497314453125000e+00
1.230468750000000000e+00 7.104682922363281250e+00
1.250000000000000000e+00 7.031250000000000000e+00
1.269531250000000000e+00 6.958198547363281250e+00
1.289062500000000000e+00 6.885528564453125000e+00
1.308593750000000000e+00 6.813240051269531250e+00
1.328125000000000000e+00 6.741333007812500000e+00
1.347656250000000000e+00 6.669807434082031250e+00
1.367187500000000000e+00 6.598663330078125000e+00
1.386718750000000000e+00 6.527900695800781250e+00
1.406250000000000000e+00 6.457519531250000000e+00
1.425781250000000000e+00 6.387519836425781250e+00
1.445312500000000000e+00 6.317901611328125000e+00
1.464843750000000000e+00 6.248664855957031250e+00
1.484375000000000000e+00 6.179809570312500000e+00
1.503906250000000000e+00 6.111335754394531250e+00
1.523437500000000000e+00 6.043243408203125000e+00
1.542968750000000000e+00 5.975532531738281250e+00
1.562500000000000000e+00 5.908203125000000000e+00
1.582031250000000000e+00 5.841255187988281250e+00
1.601562500000000000e+00 5.774688720703125000e+00
1.621093750000000000e+00 5.708503723144531250e+00
1.640625000000000000e+00 5.642700195312500000e+00
1.660156250000000000e+00 5.577278137207031250e+00
1.679687500000000000e+00 5.512237548828125000e+00
1.699218750000000000e+00 5.447578430175781250e+00
1.718750000000000000e+00 5.383300781250000000e+00
1.738281250000000000e+00 5.319404602050781250e+00
1.757812500000000000e+00 5.255889892578125000e+00
1.777343750000000000e+00 5.192756652832031250e+00
1.796875000000000000e+00 5.130004882812500000e+00
1.816406250000000000e+00 5.067634582519531250e+00
1.835937500000000000e+00 5.005645751953125000e+00
1.855468750000000000e+00 4.944038391113281250e+00
1.875000000000000000e+00 4.882812500000000000e+00
1.894531250000000000e+00 4.821968078613281250e+00
1.914062500000000000e+00 4.761505126953125000e+00
1.933593750000000000e+00 4.701423645019531250e+00
1.953125000000000000e+00 4.641723632812500000e+00
1.972656250000000000e+00 4.582405090332031250e+00
1.992187500000000000e+00 4.523468017578125000e+00
2.011718750000000000e+00 4.464912414550781250e+00
2.031250000000000000e+00 4.406738281250000000e+00
2.050781250000000000e+00 4.348945617675781250e+00
2.070312500000000000e+00 4.291534423828125000e+00
2.089843750000000000e+00 4.234504699707031250e+00
2.109375000000000000e+00 4.177856445312500000e+00
2.128906250000000000e+00 4.121589660644531250e+00
2.148437500000000000e+00 4.065704345703125000e+00
2.167968750000000000e+00 4.010200500488281250e+00
2.187500000000000000e+00 3.955078125000000000e+00
2.207031250000000000e+00 3.900337219238281250e+00
2.226562500000000000e+00 3.845977783203125000e+00
2.246093750000000000e+00 3.791999816894531250e+00
2.265625000000000000e+00 3.738403320312500000e+00
2.285156250000000000e+00 3.685188293457031250e+00
2.304687500000000000e+00 3.632354736328125000e+00
2.324218750000000000e+00 3.579902648925781250e+00
2.343750000000000000e+00 3.527832031250000000e+00
2.363281250000000000e+00 3.476142883300781250e+00
2.382812500000000000e+00 3.424835205078125000e+00
2.402343750000000000e+00 3.373908996582031250e+00
2.421875000000000000e+00 3.323364257812500000e+00
2.441406250000000000e+00 3.273200988769531250e+00
2.460937500000000000e+00 3.223419189453125000e+00
2.480468750000000000e+00 3.174018859863281250e+00
2.500000000000000000e+00 3.125000000000000000e+00
2.519531250000000000e+00 3.076362609863281250e+00
2.539062500000000000e+00 3.028106689453125000e+00
2.558593750000000000e+00 2.980232238769531250e+00
2.578125000000000000e+00 2.932739257812500000e+00
2.597656250000000000e+00 2.885627746582031250e+00
2.617187500000000000e+00 2.838897705078125000e+00
2.636718750000000000e+00 2.792549133300781250e+00
2.656250000000000000e+00 2.746582031250000000e+00
2.675781250000000000e+00 2.700996398925781250e+00
2.695312500000000000e+00 2.655792236328125000e+00
2.714843750000000000e+00 2.610969543457031250e+00
2.734375000000000000e+00 2.566528320312500000e+00
2.753906250000000000e+00 2.522468566894531250e+00
2.773437500000000000e+00 2.478790283203125000e+00
2.792968750000000000e+00 2.435493469238281250e+00
2.812500000000000000e+00 2.392578125000000000e+00
2.832031250000000000e+00 2.350044250488281250e+00
2.851562500000000000e+00 2.307891845703125000e+00
2.871093750000000000e+00 2.266120910644531250e+00
2.890625000000000000e+00 2.224731445312500000e+00
2.910156250000000000e+00 2.183723449707031250e+00
2.929687500000000000e+00 2.143096923828125000e+00
2.949218750000000000e+00 2.102851867675781250e+00
2.968750000000000000e+00 2.062988281250000000e+00
2.988281250000000000e+00 2.023506164550781250e+00
3.007812500000000000e+00 1.984405517578125000e+00
3.027343750000000000e+00 1.945686340332031250e+00
3.046875000000000000e+00 1.907348632812500000e+00
3.066406250000000000e+00 1.869392395019531250e+00
3.085937500000000000e+00 1.831817626953125000e+00
3.105468750000000000e+00 1.794624328613281250e+00
3.125000000000000000e+00 1.757812500000000000e+00
3.144531250000000000e+00 1.721382141113281250e+00
3.164062500000000000e+00 1.685333251953125000e+00
3.183593750000000000e+00 1.649665832519531250e+00
3.203125000000000000e+00 1.614379882812500000e+00
3.222656250000000000e+00 1.579475402832031250e+00
3.242187500000000000e+00 1.544952392578125000e+00
3.261718750000000000e+00 1.510810852050781250e+00
3.281250000000000000e+00 1.477050781250000000e+00
3.300781250000000000e+00 1.443672180175781250e+00
3.320312500000000000e+00 1.410675048828125000e+00
3.339843750000000000e+00 1.378059387207031250e+00
3.359375000000000000e+00 1.345825195312500000e+00
3.378906250000000000e+00 1.313972473144531250e+00
3.398437500000000000e+00 1.282501220703125000e+00
3.417968750000000000e+00 1.251411437988281250e+00
3.437500000000000000e+00 1.220703125000000000e+00
3.457031250000000000e+00 1.190376281738281250e+00
3.476562500000000000e+00 1.160430908203125000e+00
3.496093750000000000e+00 1.130867004394531250e+00
3.515625000000000000e+00 1.101684570312500000e+00
3.535156250000000000e+00 1.072883605957031250e+00
3.554687500000000000e+00 1.044464111328125000e+00
3.574218750000000000e+00 1.016426086425781250e+00
3.593750000000000000e+00 9.887695312500000000e-01
3.613281250000000000e+00 9.614944458007812500e-01
3.632812500000000000e+00 9.346008300781250000e-01
3.652343750000000000e+00 9.080886840820312500e-01
3.671875000000000000e+00 8.819580078125000000e-01
3.691406250000000000e+00 8.562088012695312500e-01
3.710937500000000000e+00 8.308410644531250000e-01
3.730468750000000000e+00 8.058547973632812500e-01
3.750000000000000000e+00 7.812500000000000000e-01
3.769531250000000000e+00 7.570266723632812500e-01
3.789062500000000000e+00 7.331848144531250000e-01
3.808593750000000000e+00 7.097244262695312500e-01
3.828125000000000000e+00 6.866455078125000000e-01
3.847656250000000000e+00 6.639480590820312500e-01
3.867187500000000000e+00 6.416320800781250000e-01
3.886718750000000000e+00 6.196975708007812500e-01
3.906250000000000000e+00 5.981445312500000000e-01
3.925781250000000000e+00 5.769729614257812500e-01
3.945312500000000000e+00 5.561828613281250000e-01
3.964843750000000000e+00 5.357742309570312500e-01
3.984375000000000000e+00 5.157470703125000000e-01
4.003906250000000000e+00 4.961013793945312500e-01
4.023437500000000000e+00 4.768371582031250000e-01
4.042968750000000000e+00 4.579544067382812500e-01
4.062500000000000000e+00 4.394531250000000000e-01
4.082031250000000000e+00 4.213333129882812500e-01
4.101562500000000000e+00 4.035949707031250000e-01
4.121093750000000000e+00 3.862380981445312500e-01
4.140625000000000000e+00 3.692626953125000000e-01
4.160156250000000000e+00 3.526687622070312500e-01
4.179687500000000000e+00 3.364562988281250000e-01
4.199218750000000000e+00 3.206253051757812500e-01
4.218750000000000000e+00 3.051757812500000000e-01
4.238281250000000000e+00 2.901077270507812500e-01
4.257812500000000000e+00 2.754211425781250000e-01
4.277343750000000000e+00 2.611160278320312500e-01
4.296875000000000000e+00 2.471923828125000000e-01
4.316406250000000000e+00 2.336502075195312500e-01
4.335937500000000000e+00 2.204895019531250000e-01
4.355468750000000000e+00 2.077102661132812500e-01
4.375000000000000000e+00 1.953125000000000000e-01
4.394531250000000000e+00 1.832962036132812500e-01
4.414062500000000000e+00 1.716613769531250000e-01
4.433593750000000000e+00 1.604080200195312500e-01
4.453125000000000000e+00 1.495361328125000000e-01
4.472656250000000000e+00 1.390457153320312500e-01
4.492187500000000000e+00 1.289367675781250000e-01
4.511718750000000000e+00 1.192092895507812500e-01
4.531250000000000000e+00 1.098632812500000000e-01
4.550781250000000000e+00 1.008987426757812500e-01
4.570312500000000000e+00 9.231567382812500000e-02
4.589843750000000000e+00 8.411407470703125000e-02
4.609375000000000000e+00 7.629394531250000000e-02
4.628906250000000000e+00 6.885528564453125000e-02
4.648437500000000000e+00 6.179809570312500000e-02
4.667968750000000000e+00 5.512237548828125000e-02
4.687500000000000000e+00 4.882812500000000000e-02
4.707031250000000000e+00 4.291534423828125000e-02
4.726562500000000000e+00 3.738403320312500000e-02
4.746093750000000000e+00 3.223419189453125000e-02
4.765625000000000000e+00 2.746582031250000000e-02
4.785156250000000000e+00 2.307891845703125000e-02
4.804687500000000000e+00 1.907348632812500000e-02
4.824218750000000000e+00 1.544952392578125000e-02
4.843750000000000000e+00 1.220703125000000000e-02
4.863281250000000000e+00 9.346008300781250000e-03
4.882812500000000000e+00 6.866455078125000000e-03
4.902343750000000000e+00 4.768371582031250000e-03
4.921875000000000000e+00 3.051757812500000000e-03
4.941406250000000000e+00 1.716613769531250000e-03
4.960937500000000000e+00 7.629394531250000000e-04
4.980468750000000000e+00 1.907348632812500000e-04
5.000000000000000000e+00 0.000000000000000000e+00
5.019531250000000000e+00 1.907348632812500000e-04
5.039062500000000000e+00 7.629394531250000000e-04
5.058593750000000000e+00 1.716613769531250000e-03
5.078125000000000000e+00 3.051757812500000000e-03
5.097656250000000000e+00 4.768371582031250000e-03
5.117187500000000000e+00 6.866455078125000000e-03
5.136718750000000000e+00 9.346008300781250000e-03
5.156250000000000000e+00 1.220703125000000000e-02
5.175781250000000000e+00 1.544952392578125000e-02
5.195312500000000000e+00 1.907348632812500000e-02
5.214843750000000000e+00 2.307891845703125000e-02
5.234375000000000000e+00 2.746582031250000000e-02
5.253906250000000000e+00 3.223419189453125000e-02
5.273437500000000000e+00 3.738403320312500000e-02
5.292968750000000000e+00 4.291534423828125000e-02
5.312500000000000000e+00 4.882812500000000000e-02
5.332031250000000000e+00 5.512237548828125000e-02
5.351562500000000000e+00 6.179809570312500000e-02
5.371093750000000000e+00 6.885528564453125000e-02
5.390625000000000000e+00 7.629394531250000000e-02
5.410156250000000000e+00 8.411407470703125000e-02
5.429687500000000000e+00 9.231567382812500000e-02
5.449218750000000000e+00 1.008987426757812500e-01
5.468750000000000000e+00 1.098632812500000000e-01
5.488281250000000000e+00 1.192092895507812500e-01
5.507812500000000000e+00 1.289367675781250000e-01
5.527343750000000000e+00 1.390457153320312500e-01
5.546875000000000000e+00 1.495361328125000000e-01
5.566406250000000000e+00 1.604080200195312500e-01
5.585937500000000000e+00 1.716613769531250000e-01
5.605468750000000000e+00 1.832962036132812500e-01
5.625000000000000000e+00 1.953125000000000000e-01
5.644531250000000000e+00 2.077102661132812500e-01
5.664062500000000000e+00 2.204895019531250000e-01
5.683593750000000000e+00 2.336502075195312500e-01
5.703125000000000000e+00 2.471923828125000000e-01
5.722656250000000000e+00 2.611160278320312500e-01
5.742187500000000000e+00 2.754211425781250000e-01
5.761718750000000000e+00 2.901077270507812500e-01
5.781250000000000000e+00 3.051757812500000000e-01
5.800781250000000000e+00 3.206253051757812500e-01
5.820312500000000000e+00 3.364562988281250000e-01
5.839843750000000000e+00 3.526687622070312500e-01
5.859375000000000000e+00 3.692626953125000000e-01
5.878906250000000000e+00 3.862380981445312500e-01
5.898437500000000000e+00 4.035949707031250000e-01
5.917968750000000000e+00 4.213333129882812500e-01
5.937500000000000000e+00 4.394531250000000000e-01
5.957031250000000000e+00 4.579544067382812500e-01
5.976562500000000000e+00 4.768371582031250000e-01
5.996093750000000000e+00 4.961013793945312500e-01
6.015625000000000000e+00 5.157470703125000000e-01
6.035156250000000000e+00 5.357742309570312500e-01
6.054687500000000000e+00 5.561828613281250000e-01
6.074218750000000000e+00 5.769729614257812500e-01
6.093750000000000000e+00 5.981445312500000000e-01
6.113281250000000000e+00 6.196975708007812500e-01
6.132812500000000000e+00 6.416320800781250000e-01
6.152343750000000000e+00 6.639480590820312500e-01
6.171875000000000000e+00 6.866455078125000000e-01
6.191406250000000000e+00 7.097244262695312500e-01
6.210937500000000000e+00 7.331848144531250000e-01
6.230468750000000000e+00 7.570266723632812500e-01
6.250000000000000000e+00 7.812500000000000000e-01
6.269531250000000000e+00 8.058547973632812500e-01
6.289062500000000000e+00 8.308410644531250000e-01
6.308593750000000000e+00 8.562088012695312500e-01
6.328125000000000000e+00 8.819580078125000000e-01
6.347656250000000000e+00 9.080886840820312500e-01
6.367187500000000000e+00 9.346008300781250000e-01
6.386718750000000000e+00 9.614944458007812500e-01
6.406250000000000000e+00 9.887695312500000000e-01
6.425781250000000000e+00 1.016426086425781250e+00
6.445312500000000000e+00 1.044464111328125000e+00
6.464843750000000000e+00 1.072883605957031250e+00
6.484375000000000000e+00 1.101684570312500000e+00
6.503906250000000000e+00 1.130867004394531250e+00
6.523437500000000000e+00 1.160430908203125000e+00
6.542968750000000000e+00 1.190376281738281250e+00
6.562500000000000000e+00 1.220703125000000000e+00
6.582031250000000000e+00 1.251411437988281250e+00
6.601562500000000000e+00 1.282501220703125000e+00
6.621093750000000000e+00 1.313972473144531250e+00
6.640625000000000000e+00 1.345825195312500000e+00
6.660156250000000000e+00 1.378059387207031250e+00
