# Re(psi) 	 Im(psi)
8.851798272390005499e-06 0.000000000000000000e+00
9.757987185237048942e-06 0.000000000000000000e+00
1.075284309484658617e-05 0.000000000000000000e+00
1.184460831149939902e-05 0.000000000000000000e+00
1.304224722930498051e-05 0.000000000000000000e+00
1.435550527394124503e-05 0.000000000000000000e+00
1.579497225874104745e-05 0.000000000000000000e+00
1.737215044261597156e-05 0.000000000000000000e+00
1.909952759974256552e-05 0.000000000000000000e+00
2.099065542803359771e-05 0.000000000000000000e+00
2.306023364118130851e-05 0.000000000000000000e+00
2.532420010749414992e-05 0.000000000000000000e+00
2.779982741785368049e-05 0.000000000000000000e+00
3.050582628489133559e-05 0.000000000000000000e+00
3.346245619592132941e-05 0.000000000000000000e+00
3.669164376325694741e-05 0.000000000000000000e+00
4.021710923727159036e-05 0.000000000000000000e+00
4.406450166992800815e-05 0.000000000000000000e+00
4.826154323946869228e-05 0.000000000000000000e+00
5.283818327051523716e-05 0.000000000000000000e+00
5.782676250793430072e-05 0.000000000000000000e+00
6.326218822746140032e-05 0.000000000000000000e+00
6.918212079119024456e-05 0.000000000000000000e+00
7.562717228159274564e-05 0.000000000000000000e+00
8.264111787368095998e-05 0.000000000000000000e+00
9.027112063120229643e-05 0.000000000000000000e+00
9.856797043930892873e-05 0.000000000000000000e+00
1.075863378128923608e-04 0.000000000000000000e+00
1.173850433466466949e-04 0.000000000000000000e+00
1.280273435998338465e-04 0.000000000000000000e+00
1.395812342355792605e-04 0.000000000000000000e+00
1.521197712612233014e-04 0.000000000000000000e+00
1.657214112426855972e-04 0.000000000000000000e+00
1.804703713918436416e-04 0.000000000000000000e+00
1.964570104514572245e-04 0.000000000000000000e+00
2.137782313270508835e-04 0.000000000000000000e+00
2.325379064392435696e-04 0.000000000000000000e+00
2.528473267931386111e-04 0.000000000000000000e+00
2.748256757833845727e-04 0.000000000000000000e+00
2.986005287742106093e-04 0.000000000000000000e+00
3.243083795129456321e-04 0.000000000000000000e+00
3.520951944530401187e-04 0.000000000000000000e+00
3.821169960782230487e-04 0.000000000000000000e+00
4.145404763329148690e-04 0.000000000000000000e+00
4.495436412751556464e-04 0.000000000000000000e+00
4.873164880768502652e-04 0.000000000000000000e+00
5.280617155018281668e-04 0.000000000000000000e+00
5.719954689948023594e-04 0.000000000000000000e+00
6.193481215135171643e-04 0.000000000000000000e+00
6.703650912319164675e-04 0.000000000000000000e+00
7.253076972337511082e-04 0.000000000000000000e+00
7.844540543033770835e-04 0.000000000000000000e+00
8.481000079032681698e-04 0.000000000000000000e+00
9.165601104056577807e-04 0.000000000000000000e+00
9.901686396184270541e-04 0.000000000000000000e+00
1.069280660612514705e-03 0.000000000000000000e+00
1.154273131819448083e-03 0.000000000000000000e+00
1.245546056322700346e-03 0.000000000000000000e+00
1.343523679215169247e-03 0.000000000000000000e+00
1.448655731836787867e-03 0.000000000000000000e+00
1.561418723640762510e-03 0.000000000000000000e+00
1.682317282363906359e-03 0.000000000000000000e+00
1.811885543095578116e-03 0.000000000000000000e+00
1.950688586750601783e-03 0.000000000000000000e+00
2.099323928353845348e-03 0.000000000000000000e+00
2.258423055437601412e-03 0.000000000000000000e+00
2.428653016737208209e-03 0.000000000000000000e+00
2.610718061245209144e-03 0.000000000000000000e+00
2.805361327549469892e-03 0.000000000000000000e+00
3.013366583235836758e-03 0.000000000000000000e+00
3.235560013980818845e-03 0.000000000000000000e+00
3.472812061794295843e-03 0.000000000000000000e+00
