#           k/h    P           
    0.10000E-03    0.48832E+03
    0.10202E-03    0.49778E+03
    0.10408E-03    0.50743E+03
    0.10618E-03    0.51726E+03
    0.10833E-03    0.52728E+03
    0.11052E-03    0.53749E+03
    0.11275E-03    0.54791E+03
    0.11503E-03    0.55852E+03
    0.11735E-03    0.56934E+03
    0.11972E-03    0.58037E+03
    0.12214E-03    0.59161E+03
    0.12461E-03    0.60307E+03
    0.12712E-03    0.61475E+03
    0.12969E-03    0.62665E+03
    0.13231E-03    0.63879E+03
    0.13499E-03    0.65116E+03
    0.13771E-03    0.66377E+03
    0.14049E-03    0.67663E+03
    0.14333E-03    0.68973E+03
    0.14623E-03    0.70308E+03
    0.14918E-03    0.71670E+03
    0.15220E-03    0.73057E+03
    0.15527E-03    0.74472E+03
    0.15841E-03    0.75914E+03
    0.16161E-03    0.77383E+03
    0.16487E-03    0.78881E+03
    0.16820E-03    0.80408E+03
    0.17160E-03    0.81964E+03
    0.17507E-03    0.83551E+03
    0.17860E-03    0.85168E+03
    0.18221E-03    0.86816E+03
    0.18589E-03    0.88496E+03
    0.18965E-03    0.90208E+03
    0.19348E-03    0.91953E+03
    0.19739E-03    0.93732E+03
    0.20138E-03    0.95545E+03
    0.20544E-03    0.97393E+03
    0.20959E-03    0.99277E+03
    0.21383E-03    0.10120E+04
    0.21815E-03    0.10315E+04
    0.22255E-03    0.10515E+04
    0.22705E-03    0.10718E+04
    0.23164E-03    0.10925E+04
    0.23632E-03    0.11136E+04
    0.24109E-03    0.11352E+04
    0.24596E-03    0.11571E+04
    0.25093E-03    0.11795E+04
    0.25600E-03    0.12023E+04
    0.26117E-03    0.12255E+04
    0.26645E-03    0.12491E+04
    0.27183E-03    0.12733E+04
    0.27732E-03    0.12979E+04
    0.28292E-03    0.13229E+04
    0.28864E-03    0.13484E+04
    0.29447E-03    0.13745E+04
    0.30042E-03    0.14010E+04
    0.30649E-03    0.14280E+04
    0.31268E-03    0.14556E+04
    0.31899E-03    0.14836E+04
    0.32544E-03    0.15122E+04
    0.33201E-03    0.15414E+04
    0.33872E-03    0.15711E+04
    0.34556E-03    0.16014E+04
    0.35254E-03    0.16322E+04
    0.35966E-03    0.16637E+04
    0.36693E-03    0.16957E+04
    0.37434E-03    0.17283E+04
    0.38190E-03    0.17616E+04
    0.38962E-03    0.17955E+04
    0.39749E-03    0.18300E+04
    0.40552E-03    0.18652E+04
    0.41371E-03    0.19011E+04
    0.42207E-03    0.19376E+04
    0.43060E-03    0.19748E+04
    0.43929E-03    0.20127E+04
    0.44817E-03    0.20514E+04
    0.45722E-03    0.20907E+04
    0.46646E-03    0.21308E+04
    0.47588E-03    0.21717E+04
    0.48550E-03    0.22133E+04
    0.49530E-03    0.22557E+04
    0.50531E-03    0.22989E+04
    0.51552E-03    0.23429E+04
    0.52593E-03    0.23877E+04
    0.53656E-03    0.24334E+04
    0.54739E-03    0.24799E+04
    0.55845E-03    0.25273E+04
    0.56973E-03    0.25756E+04
    0.58124E-03    0.26247E+04
    0.59299E-03    0.26748E+04
    0.60496E-03    0.27258E+04
    0.61719E-03    0.27777E+04
    0.62965E-03    0.28306E+04
    0.64237E-03    0.28845E+04
    0.65535E-03    0.29393E+04
    0.66859E-03    0.29952E+04
    0.68210E-03    0.30521E+04
    0.69588E-03    0.31100E+04
    0.70993E-03    0.31690E+04
    0.72427E-03    0.32291E+04
    0.73891E-03    0.32902E+04
    0.75383E-03    0.33525E+04
    0.76906E-03    0.34158E+04
    0.78460E-03    0.34804E+04
    0.80045E-03    0.35461E+04
    0.81662E-03    0.36130E+04
    0.83311E-03    0.36810E+04
    0.84994E-03    0.37503E+04
    0.86711E-03    0.38209E+04
    0.88463E-03    0.38926E+04
    0.90250E-03    0.39657E+04
