#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.735294E-04   0.205711E+08   0.205711E+08   0.266704E+08   0.266693E+08   0.205713E+08   0.205711E+08   0.205711E+08   0.205782E+08  -0.464749E+00   0.103999E+08   0.103999E+08   0.438956E-01
   0.102619E-03   0.205697E+08   0.205697E+08   0.259681E+08   0.259661E+08   0.205679E+08   0.205697E+08   0.205697E+08   0.205766E+08  -0.464709E+00   0.103992E+08   0.103992E+08   0.611836E-01
   0.143216E-03   0.205670E+08   0.205670E+08   0.246486E+08   0.246448E+08   0.205612E+08   0.205670E+08   0.205670E+08   0.205736E+08  -0.464634E+00   0.103978E+08   0.103978E+08   0.851803E-01
   0.199874E-03   0.205619E+08   0.205619E+08   0.222527E+08   0.222462E+08   0.205484E+08   0.205618E+08   0.205619E+08   0.205678E+08  -0.464489E+00   0.103952E+08   0.103952E+08   0.118326E+00
   0.278946E-03   0.205521E+08   0.205521E+08   0.181887E+08   0.181792E+08   0.205236E+08   0.205519E+08   0.205521E+08   0.205568E+08  -0.464217E+00   0.103901E+08   0.103901E+08   0.163706E+00
   0.389301E-03   0.205335E+08   0.205334E+08   0.121774E+08   0.121674E+08   0.204760E+08   0.205332E+08   0.205335E+08   0.205364E+08  -0.463717E+00   0.103805E+08   0.103805E+08   0.224915E+00
   0.543313E-03   0.204991E+08   0.204991E+08   0.549200E+07   0.548901E+07   0.203862E+08   0.204986E+08   0.204991E+08   0.205001E+08  -0.462837E+00   0.103627E+08   0.103627E+08   0.305733E+00
   0.758254E-03   0.204380E+08   0.204380E+08   0.156400E+07   0.156859E+07   0.202204E+08   0.204370E+08   0.204380E+08   0.204374E+08  -0.461361E+00   0.103312E+08   0.103312E+08   0.410199E+00
   0.105823E-02   0.203338E+08   0.203337E+08   0.888032E+06   0.883368E+06   0.199240E+08   0.203318E+08   0.203338E+08   0.203321E+08  -0.458950E+00   0.102776E+08   0.102776E+08   0.544253E+00
   0.147688E-02   0.201626E+08   0.201624E+08   0.198905E+06   0.188893E+06   0.194196E+08   0.201591E+08   0.201626E+08   0.201591E+08  -0.455032E+00   0.101902E+08   0.101902E+08   0.716694E+00
   0.206115E-02   0.198906E+08   0.198901E+08  -0.139163E+06  -0.139221E+06   0.186314E+08   0.198845E+08   0.198905E+08   0.198845E+08  -0.448826E+00   0.100516E+08   0.100516E+08   0.937931E+00
   0.287657E-02   0.194738E+08   0.194728E+08  -0.699516E+05  -0.699807E+05   0.175173E+08   0.194644E+08   0.194737E+08   0.194644E+08  -0.439339E+00   0.983948E+07   0.983947E+07   0.122086E+01
   0.401457E-02   0.188624E+08   0.188605E+08  -0.347920E+05  -0.348065E+05   0.160640E+08   0.188488E+08   0.188621E+08   0.188488E+08  -0.425444E+00   0.952883E+07   0.952881E+07   0.158060E+01
   0.415064E-02   0.187886E+08   0.187865E+08  -0.324216E+05  -0.324350E+05   0.158989E+08   0.187746E+08   0.187882E+08   0.187745E+08  -0.423767E+00   0.949134E+07   0.949132E+07   0.162142E+01
   0.429133E-02   0.187122E+08   0.187100E+08  -0.302081E+05  -0.302207E+05   0.157301E+08   0.186977E+08   0.187119E+08   0.186977E+08  -0.422033E+00   0.945258E+07   0.945256E+07   0.166319E+01
   0.443679E-02   0.186333E+08   0.186310E+08  -0.281415E+05  -0.281532E+05   0.155577E+08   0.186184E+08   0.186329E+08   0.186184E+08  -0.420242E+00   0.941252E+07   0.941250E+07   0.170591E+01
